Station,River Name,Station Height,Latitude,Longitude,OUTFLOW,Last Reading at,Max. Peak,INFLOW
Tarbela Dam,Indus River,430 m,34.1059,72.7338,"56,600 (Rising Trend)",06-Dec 06 PKT,"382,700 (MEDIUM on 17-Aug)","21,000 (Falling Trend)"
KABUL,Kabul River,287 m,34.0067,71.977,"7,100 (Falling Trend)",06-Dec 06 PKT,"109,900 (MEDIUM on 16-Aug)",
Kalabagh,Indus River,211 m,32.9187,71.5219,"31,692 (Falling Trend)",06-Dec 06 PKT,"464,391 (MEDIUM on 18-Aug)","38,192 (Falling Trend)"
Chashma,Indus River,191 m,32.4359,71.3794,"36,435 (Falling Trend)",06-Dec 06 PKT,"495,435 (MEDIUM on 17-Aug)","39,335 (Falling Trend)"
Taunsa,Indus River,131 m,30.5185,70.8367,"42,132 (Falling Trend)",06-Dec 06 PKT,"501,312 (HIGH on 19-Aug)","48,632 (Falling Trend)"
Marala,Chenab River,242 m,32.6735,74.4647,"1,500 (Steady Trend)",06-Dec 06 PKT,"895,740 (EX_HIGH on 27-Aug)","7,340 (Falling Trend)"
Trimmu,Chenab River,149 m,31.1448,72.146,"2,719 (Falling Trend)",06-Dec 06 PKT,"550,965 (VERY_HIGH on 01-Sep)","13,419 (Falling Trend)"
Panjnad,Chenab River,100 m,29.3464,71.0202,"10,735 (Falling Trend)",06-Dec 06 PKT,"703,698 (EX_HIGH on 11-Sep)","16,735 (Falling Trend)"
Mangla Dam,Jhelum River,335 m,33.1507,73.6491,"31,455 (Rising Trend)",06-Dec 06 PKT,"33,000 (NORMAL on 04-Dec)","4,000 (Rising Trend)"
Guddu,Indus River,74 m,28.4201,69.7114,"46,634 (Falling Trend)",06-Dec 06 PKT,"606,489 (HIGH on 14-Sep)","55,145 (Steady Trend)"
Sukkur,Indus River,57 m,27.679,68.8462,"14,550 (Steady Trend)",06-Dec 06 PKT,"518,120 (HIGH on 16-Sep)","43,220 (Steady Trend)"
Kotri,Indus River,15 m,25.4428,68.3151,"1,509 (Rising Trend)",06-Dec 06 PKT,"393,560 (MEDIUM on 26-Sep)","10,469 (Rising Trend)"
Tarbela Dam,Indus River,430 m,34.1059,72.7338,"24,700 (Falling Trend)",07-Dec 06 PKT,"382,700 (MEDIUM on 17-Aug)","21,000 (Steady Trend)"
KABUL,Kabul River,287 m,34.0067,71.977,"7,300 (Rising Trend)",07-Dec 06 PKT,"109,900 (MEDIUM on 16-Aug)",
Kalabagh,Indus River,211 m,32.9187,71.5219,"41,996 (Rising Trend)",07-Dec 06 PKT,"464,391 (MEDIUM on 18-Aug)","47,996 (Rising Trend)"
Chashma,Indus River,191 m,32.4359,71.3794,"34,285 (Falling Trend)",07-Dec 06 PKT,"495,435 (MEDIUM on 17-Aug)","37,185 (Falling Trend)"
Taunsa,Indus River,131 m,30.5185,70.8367,"32,102 (Falling Trend)",07-Dec 06 PKT,"501,312 (HIGH on 19-Aug)","37,842 (Falling Trend)"
Marala,Chenab River,242 m,32.6735,74.4647,"1,500 (Steady Trend)",07-Dec 06 PKT,"895,740 (EX_HIGH on 27-Aug)","7,207 (Falling Trend)"
Trimmu,Chenab River,149 m,31.1448,72.146,"4,256 (Rising Trend)",07-Dec 06 PKT,"550,965 (VERY_HIGH on 01-Sep)","11,456 (Falling Trend)"
Panjnad,Chenab River,100 m,29.3464,71.0202,"10,735 (Steady Trend)",07-Dec 06 PKT,"703,698 (EX_HIGH on 11-Sep)","16,735 (Steady Trend)"
Mangla Dam,Jhelum River,335 m,33.1507,73.6491,"34,115 (Rising Trend)",07-Dec 06 PKT,"34,115 (NORMAL Today)","3,500 (Falling Trend)"
Guddu,Indus River,74 m,28.4201,69.7114,"46,634 (Steady Trend)",07-Dec 06 PKT,"606,489 (HIGH on 14-Sep)","54,154 (Falling Trend)"
Sukkur,Indus River,57 m,27.679,68.8462,"16,640 (Rising Trend)",07-Dec 06 PKT,"518,120 (HIGH on 16-Sep)","45,260 (Rising Trend)"
Kotri,Indus River,15 m,25.4428,68.3151,"1,509 (Steady Trend)",07-Dec 06 PKT,"393,560 (MEDIUM on 26-Sep)","10,469 (Steady Trend)"
Tarbela Dam,Indus River,430 m,34.1059,72.7338,"21,900 (Falling Trend)",08-Dec 06 PKT,"382,700 (MEDIUM on 17-Aug)","20,000 (Falling Trend)"
KABUL,Kabul River,287 m,34.0067,71.977,"7,400 (Rising Trend)",08-Dec 06 PKT,"109,900 (MEDIUM on 16-Aug)",
Kalabagh,Indus River,211 m,32.9187,71.5219,"34,459 (Falling Trend)",08-Dec 06 PKT,"464,391 (MEDIUM on 18-Aug)","40,459 (Falling Trend)"
Chashma,Indus River,191 m,32.4359,71.3794,"35,444 (Rising Trend)",08-Dec 06 PKT,"495,435 (MEDIUM on 17-Aug)","38,344 (Rising Trend)"
Taunsa,Indus River,131 m,30.5185,70.8367,"38,342 (Rising Trend)",08-Dec 06 PKT,"501,312 (HIGH on 19-Aug)","38,842 (Rising Trend)"
Marala,Chenab River,242 m,32.6735,74.4647,"56,945 (Rising Trend)",08-Dec 06 PKT,"895,740 (EX_HIGH on 27-Aug)","63,245 (Rising Trend)"
Trimmu,Chenab River,149 m,31.1448,72.146,"4,746 (Rising Trend)",08-Dec 06 PKT,"550,965 (VERY_HIGH on 01-Sep)","11,946 (Rising Trend)"
Panjnad,Chenab River,100 m,29.3464,71.0202,"10,735 (Steady Trend)",08-Dec 06 PKT,"703,698 (EX_HIGH on 11-Sep)","16,735 (Steady Trend)"
Mangla Dam,Jhelum River,335 m,33.1507,73.6491,"34,115 (Steady Trend)",08-Dec 06 PKT,"34,115 (NORMAL on 07-Dec)","3,500 (Steady Trend)"
Guddu,Indus River,74 m,28.4201,69.7114,"46,634 (Steady Trend)",08-Dec 06 PKT,"606,489 (HIGH on 14-Sep)","54,154 (Steady Trend)"
Sukkur,Indus River,57 m,27.679,68.8462,"15,220 (Falling Trend)",08-Dec 06 PKT,"518,120 (HIGH on 16-Sep)","43,840 (Falling Trend)"
Kotri,Indus River,15 m,25.4428,68.3151,"2,258 (Rising Trend)",08-Dec 06 PKT,"393,560 (MEDIUM on 26-Sep)","11,513 (Rising Trend)"
Tarbela Dam,Indus River,430 m,34.1059,72.7338,"22,600 (Falling Trend)",10-Dec 07 PKT,"382,700 (MEDIUM on 17-Aug)","20,000 (Rising Trend)"
KABUL,Kabul River,287 m,34.0067,71.977,"8,000 (Rising Trend)",10-Dec 07 PKT,"109,900 (MEDIUM on 16-Aug)",
Kalabagh,Indus River,211 m,32.9187,71.5219,"34,013 (Rising Trend)",10-Dec 07 PKT,"464,391 (MEDIUM on 18-Aug)","40,013 (Rising Trend)"
Chashma,Indus River,191 m,32.4359,71.3794,"37,764 (Falling Trend)",10-Dec 07 PKT,"495,435 (MEDIUM on 17-Aug)","40,664 (Rising Trend)"
Taunsa,Indus River,131 m,30.5185,70.8367,"35,815 (Falling Trend)",10-Dec 07 PKT,"501,312 (HIGH on 19-Aug)","36,315 (Falling Trend)"
Marala,Chenab River,242 m,32.6735,74.4647,"1,500 (Falling Trend)",10-Dec 07 PKT,"895,740 (EX_HIGH on 27-Aug)","6,940 (Falling Trend)"
Trimmu,Chenab River,149 m,31.1448,72.146,"6,093 (Steady Trend)",10-Dec 07 PKT,"550,965 (VERY_HIGH on 01-Sep)","13,293 (Steady Trend)"
Panjnad,Chenab River,100 m,29.3464,71.0202,"9,690 (Steady Trend)",10-Dec 07 PKT,"703,698 (EX_HIGH on 11-Sep)","15,690 (Steady Trend)"
Mangla Dam,Jhelum River,335 m,33.1507,73.6491,"34,315 (Falling Trend)",10-Dec 07 PKT,"35,000 (NORMAL on 09-Dec)","3,500 (Rising Trend)"
Guddu,Indus River,74 m,28.4201,69.7114,"35,523 (Falling Trend)",10-Dec 07 PKT,"606,489 (HIGH on 14-Sep)","41,715 (Falling Trend)"
Sukkur,Indus River,57 m,27.679,68.8462,"13,995 (Falling Trend)",10-Dec 07 PKT,"518,120 (HIGH on 16-Sep)","42,995 (Falling Trend)"
Kotri,Indus River,15 m,25.4428,68.3151,"3,790 (Rising Trend)",10-Dec 07 PKT,"393,560 (MEDIUM on 26-Sep)","13,245 (Rising Trend)"
Tarbela Dam,Indus River,430 m,34.1059,72.7338,"15,800 (Falling Trend)",11-Dec 06 PKT,"382,700 (MEDIUM on 17-Aug)","20,000 (Steady Trend)"
KABUL,Kabul River,287 m,34.0067,71.977,"7,500 (Falling Trend)",11-Dec 06 PKT,"109,900 (MEDIUM on 16-Aug)",
Kalabagh,Indus River,211 m,32.9187,71.5219,"33,451 (Falling Trend)",11-Dec 06 PKT,"464,391 (MEDIUM on 18-Aug)","38,951 (Falling Trend)"
Chashma,Indus River,191 m,32.4359,71.3794,"22,339 (Falling Trend)",11-Dec 06 PKT,"495,435 (MEDIUM on 17-Aug)","23,870 (Falling Trend)"
Taunsa,Indus River,131 m,30.5185,70.8367,"34,611 (Falling Trend)",11-Dec 06 PKT,"501,312 (HIGH on 19-Aug)","37,997 (Rising Trend)"
Marala,Chenab River,242 m,32.6735,74.4647,0 (Falling Trend),11-Dec 06 PKT,"895,740 (EX_HIGH on 27-Aug)","3,709 (Falling Trend)"
Trimmu,Chenab River,149 m,31.1448,72.146,"6,093 (Steady Trend)",11-Dec 06 PKT,"550,965 (VERY_HIGH on 01-Sep)","13,293 (Steady Trend)"
